epoch,step,train_loss,val_loss
0,49,12855.9267578125,
0,99,13148.234375,
0,149,11781.2490234375,
0,199,11864.9697265625,
0,249,10660.861328125,
0,299,9463.087890625,
0,349,9428.138671875,
0,399,8471.0517578125,
0,449,9606.3388671875,
0,499,8476.19921875,
0,549,8278.369140625,
0,599,9061.900390625,
0,649,8777.9619140625,
0,699,8244.9013671875,
0,749,8146.9287109375,
0,799,8096.62109375,
0,849,8036.63427734375,
0,859,,7927.21923828125
1,899,7323.27294921875,
1,949,7368.59814453125,
1,999,7820.0380859375,
1,1049,8350.4580078125,
1,1099,7690.79638671875,
1,1149,7628.81982421875,
1,1199,7137.98828125,
1,1249,7719.59228515625,
1,1299,7282.9541015625,
1,1349,7058.193359375,
1,1399,7317.7412109375,
1,1449,7604.525390625,
1,1499,7211.6259765625,
1,1549,7087.0244140625,
1,1599,7524.46728515625,
1,1649,7351.4111328125,
1,1699,7198.078125,
1,1719,,7223.2353515625
2,1749,7153.7880859375,
2,1799,7088.1572265625,
2,1849,7141.21875,
2,1899,6790.97314453125,
2,1949,6840.27001953125,
2,1999,7131.236328125,
2,2049,6751.48046875,
2,2099,7180.8603515625,
2,2149,7037.048828125,
2,2199,6975.73974609375,
2,2249,6526.6025390625,
2,2299,7218.42138671875,
2,2349,6964.12744140625,
2,2399,7184.1884765625,
2,2449,6785.564453125,
2,2499,6908.9755859375,
2,2549,6257.794921875,
2,2579,,6896.23779296875
3,2599,6993.74462890625,
3,2649,6780.53369140625,
3,2699,6496.2353515625,
3,2749,7380.6025390625,
3,2799,6606.02734375,
3,2849,6976.44775390625,
3,2899,6673.326171875,
3,2949,6884.6650390625,
3,2999,6554.11083984375,
3,3049,6820.87158203125,
3,3099,6657.0478515625,
3,3149,6868.2021484375,
3,3199,6818.5830078125,
3,3249,6477.00830078125,
3,3299,6703.19140625,
3,3349,6512.044921875,
3,3399,7064.3134765625,
3,3439,,6713.154296875
4,3449,7080.48095703125,
4,3499,6541.81591796875,
4,3549,6997.69140625,
4,3599,6529.703125,
4,3649,6162.1826171875,
4,3699,6641.56884765625,
4,3749,6672.9208984375,
4,3799,6566.18408203125,
4,3849,6639.83935546875,
4,3899,6701.7978515625,
4,3949,6838.8544921875,
4,3999,6411.33203125,
4,4049,6375.63671875,
4,4099,6490.794921875,
4,4149,6654.580078125,
4,4199,6445.73974609375,
4,4249,7052.8720703125,
4,4299,2474.947265625,
4,4299,,6602.77685546875
5,4349,6026.03125,
5,4399,6732.1806640625,
5,4449,6443.1318359375,
5,4499,6516.765625,
5,4549,6414.17138671875,
5,4599,6368.1982421875,
5,4649,6589.857421875,
5,4699,6284.29150390625,
5,4749,6431.86328125,
5,4799,6508.490234375,
5,4849,6819.8251953125,
5,4899,6552.53515625,
5,4949,6853.9296875,
5,4999,6551.65869140625,
5,5049,6470.8037109375,
5,5099,6467.9140625,
5,5149,6559.7626953125,
5,5159,,6555.845703125
6,5199,6113.19482421875,
6,5249,6071.759765625,
6,5299,6457.931640625,
6,5349,6454.2373046875,
6,5399,6536.861328125,
6,5449,6109.658203125,
6,5499,6688.9052734375,
6,5549,5927.05712890625,
6,5599,6791.888671875,
6,5649,6279.1826171875,
6,5699,6364.3974609375,
6,5749,6069.0810546875,
6,5799,6663.22412109375,
6,5849,6279.62060546875,
6,5899,6451.40185546875,
6,5949,6269.22802734375,
6,5999,6291.78076171875,
6,6019,,6503.81982421875
7,6049,6362.2216796875,
7,6099,6136.146484375,
7,6149,6375.1640625,
7,6199,6165.98583984375,
7,6249,6567.46533203125,
7,6299,6470.0654296875,
7,6349,6114.51025390625,
7,6399,5808.26611328125,
7,6449,6570.888671875,
7,6499,6408.80322265625,
7,6549,6322.623046875,
7,6599,6409.1787109375,
7,6649,6589.59423828125,
7,6699,6831.84765625,
7,6749,6187.34130859375,
7,6799,6485.22607421875,
7,6849,6279.8759765625,
7,6879,,6427.46875
8,6899,6392.7890625,
8,6949,6111.9560546875,
8,6999,6291.001953125,
8,7049,6520.560546875,
8,7099,6130.8564453125,
8,7149,6244.91552734375,
8,7199,5975.14453125,
8,7249,6046.25146484375,
8,7299,6389.703125,
8,7349,6324.5908203125,
8,7399,6047.7021484375,
8,7449,6779.375,
8,7499,6160.572265625,
8,7549,6143.50390625,
8,7599,6262.9853515625,
8,7649,6270.13525390625,
8,7699,6298.64892578125,
8,7739,,6397.5927734375
9,7749,6154.0458984375,
9,7799,6452.6201171875,
9,7849,6327.791015625,
9,7899,5844.4755859375,
9,7949,6893.44482421875,
9,7999,6175.61474609375,
9,8049,6819.97265625,
9,8099,6323.83837890625,
9,8149,7022.193359375,
9,8199,6471.0341796875,
9,8249,6532.99169921875,
9,8299,6612.25537109375,
9,8349,6450.6142578125,
9,8399,5993.732421875,
9,8449,6280.72802734375,
9,8499,6564.1083984375,
9,8549,6386.5400390625,
9,8599,2312.96240234375,
9,8599,,6371.1533203125
10,8649,6140.38916015625,
10,8699,6402.98681640625,
10,8749,6307.54052734375,
10,8799,6378.904296875,
10,8849,6275.5400390625,
10,8899,6338.57177734375,
10,8949,6335.8994140625,
10,8999,6511.92431640625,
10,9049,6676.78466796875,
10,9099,6382.62646484375,
10,9149,5771.4658203125,
10,9199,6437.0849609375,
10,9249,5979.6796875,
10,9299,6737.34814453125,
10,9349,6011.98828125,
10,9399,6328.7568359375,
10,9449,6308.3515625,
10,9459,,6330.89111328125
11,9499,6138.94140625,
11,9549,5691.9423828125,
11,9599,6586.63916015625,
11,9649,6092.0,
11,9699,6317.771484375,
11,9749,6347.36328125,
11,9799,5881.7490234375,
11,9849,6303.11083984375,
11,9899,6187.857421875,
11,9949,6315.0673828125,
11,9999,5921.5556640625,
11,10049,6268.802734375,
11,10099,6033.87841796875,
11,10149,6041.888671875,
11,10199,6101.91552734375,
11,10249,6368.650390625,
11,10299,6264.041015625,
11,10319,,6321.79443359375
12,10349,6488.0625,
12,10399,6287.21875,
12,10449,6026.4755859375,
12,10499,6351.603515625,
12,10549,6169.869140625,
12,10599,6236.6337890625,
12,10649,6103.529296875,
12,10699,6446.02978515625,
12,10749,5760.37060546875,
12,10799,6619.1220703125,
12,10849,6137.54443359375,
12,10899,6375.49560546875,
12,10949,6484.56640625,
12,10999,6167.2431640625,
12,11049,5908.3037109375,
12,11099,6002.2119140625,
12,11149,6152.64453125,
12,11179,,6292.2421875
13,11199,6551.2490234375,
13,11249,6292.8095703125,
13,11299,6314.3701171875,
13,11349,6416.0517578125,
13,11399,6436.60546875,
13,11449,6295.228515625,
13,11499,5715.296875,
13,11549,6104.677734375,
13,11599,6107.974609375,
13,11649,6413.1474609375,
13,11699,6063.7177734375,
13,11749,6053.880859375,
13,11799,6109.41015625,
13,11849,5976.39599609375,
13,11899,6055.48193359375,
13,11949,6035.783203125,
13,11999,5974.97216796875,
13,12039,,6292.443359375
