epoch,step,train_loss,val_loss
0,49,13186.7314453125,
0,99,12388.517578125,
0,149,11818.75390625,
0,199,10498.955078125,
0,249,10292.6240234375,
0,299,10248.5654296875,
0,349,9642.87109375,
0,399,9508.8984375,
0,449,8908.3125,
0,499,8674.3984375,
0,549,8621.2392578125,
0,599,8842.8564453125,
0,649,8511.62109375,
0,699,7914.61279296875,
0,749,7717.4658203125,
0,799,7700.31591796875,
0,849,7662.86279296875,
0,859,,7944.58056640625
1,899,7783.166015625,
1,949,7812.7275390625,
1,999,7797.73388671875,
1,1049,7938.52001953125,
1,1099,7482.9091796875,
1,1149,7370.1005859375,
1,1199,7483.09814453125,
1,1249,7399.75634765625,
1,1299,7302.4130859375,
1,1349,7543.53759765625,
1,1399,7134.88720703125,
1,1449,7114.76708984375,
1,1499,7494.00439453125,
1,1549,6995.1123046875,
1,1599,7435.62060546875,
1,1649,6532.31103515625,
1,1699,7283.7841796875,
1,1719,,7204.28173828125
